userId,date,hour,powerAmount, price 
8878,13-Feb-19,,6.560666667,3.8
8878,14-Feb-19,,4.592466667,3.75
8878,15-Feb-19,,5.046666667,3.64
8878,16-Feb-19,,4.542,3.83
8878,17-Feb-19,,6.056,3.7
8878,18-Feb-19,,6.560666667,3.86
8878,19-Feb-19,,4.592466667,3.78
8878,20-Feb-19,,5.046666667,3.8
8878,21-Feb-19,,4.542,3.75
8878,22-Feb-19,,6.056,3.64
8878,23-Feb-19,,6.560666667,3.83
8878,24-Feb-19,,4.592466667,3.7
8878,25-Feb-19,,5.046666667,3.86
8878,26-Feb-19,,4.542,3.78
8878,27-Feb-19,,6.056,3.8
8878,28-Feb-19,,6.560666667,3.75
8878,1-Mar-19,,4.592466667,3.64
7513,1-Jan-19,,5.046666667,3.83
7513,2-Jan-19,,4.542,3.7
7513,3-Jan-19,,5.551333334,3.86
7513,4-Jan-19,,1.682222222,3.78
7513,5-Jan-19,,3.835466667,3.8
7513,6-Jan-19,,5.046666667,3.75
7513,7-Jan-19,,4.542,3.64
7513,8-Jan-19,,5.551333334,3.83
7513,9-Jan-19,,1.682222222,3.7
7513,10-Jan-19,,3.835466667,3.86
7513,11-Jan-19,,5.046666667,3.78
7513,12-Jan-19,,4.542,3.8
7513,13-Jan-19,,5.551333334,3.75
7513,14-Jan-19,,1.682222222,3.64
7513,15-Jan-19,,3.835466667,3.83
7513,16-Jan-19,,5.046666667,3.7
7513,17-Jan-19,,4.542,3.86
7513,18-Jan-19,,5.551333334,3.78
7513,19-Jan-19,,1.682222222,3.8
7513,20-Jan-19,,3.835466667,3.75
7513,21-Jan-19,,5.046666667,3.64
7513,22-Jan-19,,4.542,3.83
7513,23-Jan-19,,5.551333334,3.7
7513,24-Jan-19,,1.682222222,3.86
7513,25-Jan-19,,3.835466667,3.78
7513,26-Jan-19,,5.046666667,3.8
7513,27-Jan-19,,4.542,3.75
7513,28-Jan-19,,5.551333334,3.64
7513,29-Jan-19,,1.682222222,3.83
7513,30-Jan-19,,3.835466667,3.7
7513,31-Jan-19,,5.046666667,3.86
7513,1-Feb-19,,4.542,3.78
7513,2-Feb-19,,5.551333334,3.8
7513,3-Feb-19,,1.682222222,3.75
7513,4-Feb-19,,3.835466667,3.64
7513,5-Feb-19,,5.046666667,3.83
7513,6-Feb-19,,4.542,3.7
7513,7-Feb-19,,5.551333334,3.86
7513,8-Feb-19,,1.682222222,3.78
7513,9-Feb-19,,3.835466667,3.8
7513,10-Feb-19,,5.046666667,3.75
7513,11-Feb-19,,4.542,3.64
7513,12-Feb-19,,5.551333334,3.83
7513,13-Feb-19,,1.682222222,3.7
